Issue,Country,Country_Name,Maturity,Coupon,ISIN,ISIN 144A,CUSIP / CUSIP RegS,CUSIP 144A,"Indicative price, %","Indicative yield, %",YTM Bid,YTM Offer,YTO Bid,YTO Offer,YTC Bid,YTC Offer,YTM Last,YTO Last,YTC Last,YTM Close,YTO Close,YTC Close,YTM Open,YTM Max,YTM Min,Created At,Updated At,Indicative Price Type,Indicative Yield Type,Update Time
"Indonesia, 6.625% 2037-02-17, USD",11,Indonesia,2037-02-17,6.625%,USY20721AJ83,US455780AX45,Y20721AJ8,455780AX4,111.1701,0.054176655520087,0.054463746718054,0.053890460160566,,,0.05973360166118,0.05945377906168,,,,,,,,,,2025-03-11T19:01:47,2025-03-12T08:32:01,Mid,Clearance,2025-03-12T08:24:14
"Spain, 4.7% 2041-07-30, EUR",119,Spain,2041-07-30,4.7%,ES00000121S7,,,,110.47158,0.038343432993346,0.038799973585306,0.03866620291949,,,0.042770042770043,0.042703979647465,,,,,,0.04254487896344,,,,2025-03-11T19:01:19,2025-03-12T08:31:23,Close,Clearance,2025-03-12T08:17:40
"Armenia, 13% 2032-02-17, AMD",134,Armenia,2032-02-17,13%,AMGB20172327,,,,117.7729,0.097004525456087,0.10599977873558,0.088500058468397,,,0.11492190172763,0.10618702802929,,,,,,,,,,2025-03-05T04:30:35,2025-03-05T04:30:35,Avg,Clearance,2025-03-05T04:10:27
"France, 4% 2060-04-25, EUR",85,France,2060-04-25,4%,FR0010870956,,,,97.788197368421,0.041283775538755,,,,,,,0.041336524885346,,0.04094459173124,,,,,,,2025-03-12T17:01:41,2025-03-12T17:01:41,Avg,Clearance,2025-03-12T16:22:57
"Italy, 4.425% 2036-03-28, EUR",95,Italy,2036-03-28,4.425%,XS0247541971,,,,101.608,0.042392204043424,0.043296699837896,0.041496401197988,,,0.043890536506016,0.043214156664746,,,,,,,,,,2025-03-12T04:30:34,2025-03-12T08:30:36,Avg,Clearance,2025-03-12T08:02:42
"United Kingdom, 0.625% 2042-11-22, GBP",71,United Kingdom,2042-11-22,0.625%,GB00B3MYD345,,,,82.08,,,,,,,,,,,,,,,,,2025-03-11T20:01:22,2025-03-12T03:00:41,Close,,2025-03-12T02:38:59
"India, 9.2% 2030-09-30, INR",41,India,2030-09-30,9.2%,IN0020130053,,,,109.25,0.072777828707823,,,,,,,0.072777828707823,,0.084210526315789,,,,,,,2025-03-12T17:01:39,2025-03-12T17:01:39,Avg,Clearance,2025-03-12T16:09:50
"Canada, 5.75% 2033-06-01, CAD",78,Canada,2033-06-01,5.75%,CA135087XG49,,135087XG4,,120.3205,0.029762350929675,0.03013971306873,0.029386178520805,,,0.04790848230094,0.0476701721515,,,,,,,,,,2025-03-12T14:01:09,2025-03-12T14:01:09,Mid,Clearance,2025-03-12T13:27:55
"Canada, 9% 2025-06-01, CAD",78,Canada,2025-06-01,9%,CA135087VH40,,135087VH4,,101.4155,0.025648088678041,0.028091183206022,0.023212087933149,,,0.088791985043483,0.088695729300634,,,,,,,,,,2025-03-12T14:01:09,2025-03-12T14:01:09,Mid,Clearance,2025-03-12T13:27:55
"Republic of Korea, 5.5% 2028-03-10, KRW",17,Republic of Korea,2028-03-10,5.5%,KR1035027V32,,,,115,0.0052251010213615,,,,,,,,,,0.0052251010213615,,0.047826086956522,,,,2025-02-24T19:01:31,2025-02-24T19:01:31,Close,Clearance,2025-02-24T18:08:14
